objectID,FrameDetected,wrongRate,RateHigherThan80%Frame,
E:\updatebackground\10daysResult.csv.xlsx,,,,
E:\updatebackground\objectoutput2022-4-25-10-0-0.csv,,,,
1659,9,1,4,1
1665,58,0,0,1
1667,57,0.140351,0,0.0222222
1668,14,0,0,1
1669,15,0,0,1
1677,36,0,0,1
1680,32,0.153846,0,0.111111
1681,12,0,0,1
1687,37,0.0277778,0,0.0277778
1696,12,0.916667,3,0.833333
1697,53,0.666667,0,0.173077
1703,17,0,0,1
1711,30,0.241379,0,0.05
1720,40,0,0,1
1723,43,0.5,0,0.4
1726,37,0,0,1
1729,11,0.363636,0,0.125
1731,33,0,0,1
1734,44,0.0227273,0,0.0227273
1736,65,0.2,0,0.02
1739,6,1,1,1
1740,10,0.333333,0,0.3
1742,28,0,0,1
1743,6,0,0,1
1750,14,0,0,1
1756,6,0,0,1
1758,34,0,0,1
1765,12,0,0,1
1768,29,0,0,1
1770,50,0,0,1
1773,7,0,0,1
1779,7,0.714286,0,0.666667
1786,32,0,0,1
1792,40,0,0,1
1796,30,0.133333,0,0.0416667
1812,24,0,0,1
1814,35,0.0285714,0,0.0285714
1821,112,0,0,1
1824,27,0,0,1
1829,72,0.0277778,0,0.0140845
1834,42,0.380952,0,0.130435
1846,38,0,0,1
1847,8,1,3,1
1852,6,0,0,1
1856,20,0,0,1
1870,6,0,0,1
1871,6,0,0,1
1872,7,0.428571,0,0.333333
1873,53,0.714286,0,0.6
1882,72,1,17,0.338028
1884,33,0,0,1
1885,6,0,0,1
1886,9,0,0,1
1887,58,0,0,1
1894,7,0.714286,0,0.666667
1897,43,0.5,0,0.139535
1899,39,0,0,1
1901,14,0.428571,0,0.125
1903,89,0,0,1
1905,31,0.16129,0,0.0416667
1910,37,0.333333,0,0.3
1913,64,0.078125,0,0.0178571
1925,43,0,0,1
1928,34,0.0588235,0,0.030303
1933,71,0.338028,0,0.0232558
1939,26,0,0,1
1945,25,0.0416667,0,0.0416667
1949,51,0.235294,0,0.1
1953,34,0,0,1
1957,18,0,0,1
1960,11,0,0,1
1968,30,0,0,1
1970,10,0,0,1
1972,98,0.0204082,0,0.0106383
1977,30,0,0,1
1980,14,0.857143,0,0.666667
1986,30,0,0,1
1989,30,0,0,1
1995,17,0,0,1
1996,38,0.571429,0,0.184211
2007,6,0,0,1
2011,25,0,0,1
2013,6,0.666667,0,0.666667
2015,57,0,0,1
2016,19,0,0,1
2017,17,0,0,1
2022,29,0.5,0,0.5
2025,32,0.5,0,0.5
2027,15,0,0,1
2029,7,0,0,1
2030,52,0.0769231,0,0.0212766
2034,9,0.555556,0,0.333333
2035,28,0,0,1
2038,250,0,0,1
2041,31,0.333333,0,0.333333
2043,76,0,0,1
2047,70,0.0428571,0,0.0185185
2051,37,1,29,0.894737
2056,8,0.25,0,0.166667
2060,10,0.7,0,0.5
2062,9,1,4,1
2067,34,0.555556,0,0.5
2070,47,0.129032,0,0.0384615
2073,41,0,0,1
2075,101,0.019802,0,0.01
2080,6,0.833333,0,0.833333
2081,11,0.818182,0,0.666667
2082,8,0.75,0,0.666667
2084,13,0.769231,0,0.5
2085,13,0.615385,0,0.166667
2093,28,0,0,1
2094,33,0,0,1
2100,110,0.0181818,0,0.00917431
2103,62,0.16129,0,0.025
2107,6,0,0,1
2109,12,0,0,1
2110,10,0,0,1
2112,30,0,0,1
2116,47,0.583333,0,0.428571
2118,35,0,0,1
2120,105,0.0776699,0,0.0123457
2122,35,0,0,1
2123,7,0,0,1
2125,24,0,0,1
2129,36,0,0,1
2131,52,0,0,1
2136,33,0.5,0,0.444444
2137,6,0.833333,0,0.833333
E:\updatebackground\objectoutput2022-4-25-11-30-0.csv,,,,
2140,13,0,0,1
2141,54,0.0555556,0,0.0192308
2144,71,1,7,0.8125
2146,66,0.0757576,0,0.0172414
2148,52,0.0961538,0,0.0212766
2151,9,0,0,1
2152,41,0,0,1
2157,38,0,0,1
2164,35,0.5,0,0.181818
2166,64,0.21875,0,0.0204082
2172,23,0,0,1
2184,35,0,0,1
2190,23,0.173913,0,0.0555556
2195,7,0.285714,0,0.166667
2197,66,0.0606061,0,0.03125
2201,47,0,0,1
2205,44,0.0227273,0,0.0227273
2212,65,0,0,1
2213,43,0.209302,0,0.0625
2217,36,0,0,1
2220,79,0.0759494,0,0.0135135
2221,131,0,0,1
2225,47,0,0,1
2232,56,0,0,1
2235,33,0.242424,0,0.0434783
2239,8,0.875,0,0.833333
2244,11,1,6,1
2245,16,1,11,1
2246,9,0.888889,0,0.833333
2247,50,0.14,0,0.025641
2248,167,0.692308,0,0.333333
2250,17,0,0,1
2251,120,0.0166667,0,0.0166667
2252,39,0.641026,0,0.1
2253,205,0.126829,0,0.0142857
2254,55,0,0,1
2257,39,0,0,1
2258,12,0.416667,0,0.25
2260,11,0,0,1
2261,36,0,0,1
2266,52,0,0,1
2270,8,0,0,1
2271,31,0,0,1
2274,55,0,0,1
2278,7,0,0,1
2283,6,0.333333,0,0.333333
2287,30,0,0,1
2298,37,0,0,1
2301,10,0.4,0,0.166667
2304,29,0,0,1
2306,7,0.142857,0,0.142857
2312,20,0,0,1
2316,6,0,0,1
2320,9,0,0,1
2325,21,0,0,1
2338,21,0,0,1
2340,9,0,0,1
2345,180,0,0,1
2347,31,0,0,1
2363,35,0,0,1
2366,35,0,0,1
2371,8,1,3,1
2373,179,1,13,0.167665
2380,62,0.0169492,0,0.0169492
2382,13,0,0,1
2383,47,0,0,1
2388,76,0.0131579,0,0.0131579
2389,8,0,0,1
2391,14,0.928571,5,0.833333
2399,9,0.222222,0,0.142857
2401,33,0.212121,0,0.037037
2402,43,1,5,0.545455
2406,53,0,0,1
2407,9,1,4,1
2409,34,0,0,1
2413,10,0,0,1
2418,20,0,0,1
2420,45,0,0,1
2421,6,0.5,0,0.5
2422,207,0.0144928,0,0.00490196
2424,39,0,0,1
2425,17,0,0,1
2430,16,0,0,1
2431,59,0,0,1
2435,19,0,0,1
2436,8,0,0,1
2440,53,0,0,1
2442,11,0,0,1
2447,8,0,0,1
2463,7,0,0,1
2469,51,0,0,1
2470,42,0,0,1
2471,37,0,0,1
2475,12,0,0,1
2484,46,0,0,1
2488,31,0.0322581,0,0.0322581
2501,6,0.333333,0,0.333333
2507,59,0,0,1
2514,48,0,0,1
2516,20,0,0,1
2519,8,0.5,0,0.333333
2522,10,0,0,1
2524,14,0.25,0,0.142857
2530,39,0,0,1
2542,17,0.764706,0,0.5
2545,7,0.857143,0,0.833333
2546,7,0.428571,0,0.428571
2550,35,0,0,1
2552,33,0,0,1
2555,6,0.166667,0,0.166667
2566,59,0.9,1,0.393939
2568,135,0,0,1
2571,34,0,0,1
2574,11,0,0,1
2579,41,0.292683,0,0.037037
2586,81,0.0987654,0,0.0140845
2590,72,0,0,1
2600,44,0,0,1
2608,13,0,0,1
2614,36,0.0571429,0,0.03125
2617,7,0.714286,0,0.666667
2621,322,0,0,1
2622,7,0,0,1
2623,12,0,0,1
2628,13,0,0,1
2636,18,0,0,1
2637,9,0,0,1
2640,53,0,0,1
2643,31,0,0,1
2645,33,0,0,1
2646,6,0,0,1
2647,29,0,0,1
2649,59,0,0,1
2650,43,0,0,1
2654,11,0,0,1
2655,6,0.333333,0,0.333333
2657,77,0.142857,0,0.0151515
2661,23,0.73913,0,0.142857
2668,23,1,18,1
2674,43,0,0,1
2677,33,0,0,1
2678,14,0.785714,0,0.5
2682,49,0.0204082,0,0.0204082
2691,9,0,0,1
2696,20,0,0,1
2704,24,0,0,1
2714,9,0.444444,0,0.285714
2722,45,0,0,1
2726,50,0,0,1
2729,34,0,0,1
2731,6,0.666667,0,0.666667
2737,41,0,0,1
2740,12,0,0,1
2749,45,0,0,1
2750,64,0.046875,0,0.0163934
2751,6,0,0,1
2753,143,0.027972,0,0.00719424
2755,10,0.7,0,0.5
2756,8,0.333333,0,0.333333
2765,40,0,0,1
2770,37,0.0810811,0,0.0285714
2772,7,0,0,1
2774,29,0,0,1
2786,44,0,0,1
2791,26,0,0,1
2795,25,0,0,1
2799,42,0,0,1
2806,8,0,0,1
2807,35,0,0,1
2814,41,0,0,1
2816,36,0,0,1
2820,43,0.0697674,0,0.0243902
2821,32,0,0,1
2822,89,0.428571,0,0.333333
2825,6,0,0,1
2828,10,0.5,0,0.285714
2836,11,0,0,1
2838,26,0,0,1
2846,41,0,0,1
2849,21,0,0,1
2852,6,0,0,1
2858,6,0.166667,0,0.166667
2861,23,0,0,1
2868,60,0,0,1
2873,43,0,0,1
2876,45,0,0,1
2880,52,0,0,1
2887,43,0,0,1
2892,98,0.0612245,0,0.0113636
2902,13,0,0,1
2908,14,1,6,1
2910,11,0.818182,0,0.666667
2914,7,0.571429,0,0.5
2919,49,0,0,1
2921,29,0.5,0,0.5
2928,8,0.5,0,0.333333
2933,46,0,0,1
2934,56,0,0,1
2940,8,0.5,0,0.333333
2941,16,0.466667,0,0.166667
2942,7,0.714286,0,0.666667
2946,42,0,0,1
2947,35,0.942857,16,0.666667
2948,36,0,0,1
2952,14,0.5,0,0.285714
2954,59,0.285714,0,0.285714
2956,10,0.7,0,0.5
2958,59,0.0555556,0,0.0555556
2960,9,0,0,1
2968,40,0,0,1
2971,7,0.166667,0,0.166667
2974,62,0.0967742,0,0.0178571
2975,58,0.0350877,0,0.0178571
2978,15,0,0,1
2979,129,0,0,1
2982,10,0,0,1
2990,74,0.0140845,0,0.0140845
2992,7,0,0,1
3001,6,0.833333,0,0.833333
3002,43,0,0,1
3008,31,0,0,1
3012,6,0.5,0,0.5
3018,173,0,0,1
3019,34,0,0,1
3023,55,1,11,0.333333
3028,6,0.333333,0,0.333333
3029,6,0.833333,0,0.833333
3032,9,0.555556,0,0.333333
3035,37,0,0,1
3036,43,0,0,1
3038,41,0,0,1
3052,40,0,0,1
3054,6,0.666667,0,0.666667
3057,20,0,0,1
3064,22,0,0,1
3068,6,0,0,1
3069,6,0.166667,0,0.166667
3073,28,0,0,1
3075,9,0.666667,0,0.5
3088,9,0,0,1
3089,81,0,0,1
3094,7,0.857143,0,0.833333
3098,13,0,0,1
3109,22,0,0,1
3121,45,0,0,1
3122,25,0,0,1
3123,37,0,0,1
3124,7,0.142857,0,0.142857
3126,150,0.2,0,0.0230769
3128,7,0,0,1
3129,84,0.0120482,0,0.0120482
3130,14,0,0,1
3133,13,0,0,1
3134,18,0.636364,0,0.5
3141,10,0,0,1
3145,89,0.11236,0,0.0135135
3149,10,1,5,1
3159,6,0.666667,0,0.666667
3162,11,1,6,1
3167,75,0.0517241,0,0.0181818
E:\updatebackground\objectoutput2022-4-25-12-0-0.csv,,,,
3168,33,0.0909091,0,0.0322581
3169,57,0.192982,0,0.0322581
3174,6,1,1,1
3182,6,0.833333,0,0.833333
3184,36,0,0,1
3190,29,0,0,1
3191,53,0.188679,0,0.0238095
3196,45,0,0,1
3199,36,0.0909091,0,0.0344828
3208,86,0.174419,0,0.0142857
3214,25,0.333333,0,0.333333
3223,7,0.857143,0,0.833333
3224,9,0,0,1
3229,56,0.0178571,0,0.0178571
3231,159,0.00641026,0,0.00641026
3236,60,0,0,1
3238,8,0,0,1
3241,23,0.0434783,0,0.0434783
3243,44,0.0952381,0,0.0277778
3245,28,0.25,0,0.136364
3249,14,0,0,1
3259,9,0,0,1
3261,86,0.461538,0,0.148148
3262,10,0.555556,0,0.5
3268,16,1,11,1
3277,7,0,0,1
3278,32,0,0,1
3280,25,0,0,1
3283,7,0.285714,0,0.166667
3284,34,0,0,1
3293,69,0.057971,0,0.030303
3295,52,0.0222222,0,0.0222222
3298,31,0,0,1
3300,55,0,0,1
3307,24,0,0,1
3309,10,0,0,1
3314,7,0.285714,0,0.166667
3315,147,0.238095,0,0.00917431
3316,104,0.201923,0,0.027027
3320,8,1,3,1
3321,10,0.9,1,0.833333
3322,75,0.04,0,0.0136986
3323,49,0.125,0,0.030303
3327,61,1,6,0.271186
3329,51,0.0784314,0,0.0243902
3332,11,0,0,1
3333,67,0.149254,0,0.0188679
3337,23,0,0,1
3345,8,0,0,1
3346,40,0,0,1
3347,58,0.12069,0,0.0196078
3350,13,0,0,1
3356,84,0.0238095,0,0.0123457
3360,8,0,0,1
3363,24,0,0,1
3367,41,0.5,0,0.4
3369,44,0.119048,0,0.0294118
3374,65,0.0461538,0,0.016129
3376,14,0.642857,0,0.333333
3377,12,1,6,1
3386,9,0.833333,0,0.75
3389,43,0,0,1
3392,50,0.285714,0,0.0810811
3393,55,0.345455,0,0.0285714
3397,13,0.846154,0,0.666667
3405,9,0,0,1
3407,19,0,0,1
3411,56,0.196429,0,0.0217391
3422,95,0.463158,0,0.037037
3424,8,1,3,1
3426,47,0.276596,0,0.0666667
3429,6,0,0,1
3430,55,0.0784314,0,0.027027
3433,12,0.583333,0,0.5
3438,32,0.0625,0,0.0357143
3443,50,0,0,1
3445,150,0.04,0,0.00806452
3450,11,0.0909091,0,0.0909091
3452,28,0,0,1
3453,56,0.142857,0,0.0227273
3455,90,0,0,1
3457,6,0.666667,0,0.666667
3461,59,0,0,1
3464,95,0.0315789,0,0.010989
3468,23,0.0526316,0,0.0526316
3469,11,0,0,1
3470,55,0.0727273,0,0.0196078
3473,82,0,0,1
3478,8,0.875,0,0.833333
3482,171,0.0594059,0,0.0212766
3490,43,0,0,1
3494,31,0,0,1
3495,25,0,0,1
3502,40,0,0,1
3504,31,0.625,0,0.5
3505,21,0.222222,0,0.125
3508,7,0,0,1
3513,29,0,0,1
3517,35,0,0,1
3518,19,0.157895,0,0.0625
3520,10,0,0,1
3528,123,0.00819672,0,0.00819672
3534,40,0.333333,0,0.3
3536,40,0.333333,0,0.3
3539,46,0.666667,0,0.4
3541,7,0,0,1
3543,51,0.27451,0,0.0333333
3549,36,0,0,1
3551,155,0.928571,5,0.24026
3555,24,0,0,1
3556,58,0.0689655,0,0.0185185
3558,33,0.0645161,0,0.037037
3560,12,0.583333,0,0.333333
3564,29,0,0,1
3571,105,0.972222,32,0.553398
3574,107,0.794393,0,0.333333
3577,6,0,0,1
3578,13,0,0,1
3582,15,1,10,1
3584,63,0.047619,0,0.0163934
3587,120,0.6,0,0.118182
3590,34,0.212121,0,0.05
3593,59,0.220339,0,0.0666667
3597,46,0.666667,0,0.5
3600,16,0,0,1
3603,7,0.571429,0,0.5
3604,27,0,0,1
3612,40,0.5,0,0.179487
3617,26,0.0384615,0,0.0384615
3618,24,0.941176,8,0.772727
3620,36,0.5,0,0.428571
3624,34,0.0588235,0,0.0322581
3628,45,0.113636,0,0.04
3633,9,0.666667,0,0.625
3634,6,0.666667,0,0.666667
3635,43,0.833333,0,0.243902
3638,24,0.333333,0,0.333333
3641,29,0.0357143,0,0.0357143
3642,40,0,0,1
3649,26,0,0,1
3654,31,0.551724,0,0.166667
3655,15,0.923077,4,0.833333
3656,132,0.362069,0,0.15625
3664,26,0,0,1
3666,34,0.333333,0,0.333333
3667,40,0,0,1
3670,8,0.625,0,0.5
3673,112,0.0803571,0,0.00970874
3676,6,0.666667,0,0.666667
3677,163,0.136364,0,0.0251572
3679,33,0,0,1
3681,8,0.75,0,0.666667
3682,50,0.333333,0,0.333333
3686,175,0.08,0,0.00617284
3689,43,0.625,0,0.545455
3693,12,0,0,1
3694,58,0.12069,0,0.0196078
3698,69,0.0869565,0,0.0163934
3700,7,0.142857,0,0.142857
3704,34,0,0,1
3709,65,0.107692,0,0.0169492
3712,71,0.056338,0,0.0227273
3713,63,0.015873,0,0.015873
3714,156,0,0,1
3717,9,0.555556,0,0.5
3721,50,0.166667,0,0.06
3725,11,0.818182,0,0.666667
3730,52,0.333333,0,0.333333
3734,34,0,0,1
3739,14,0.357143,0,0.1
3741,56,0.666667,0,0.142857
3744,51,0.875,0,0.666667
3755,14,0,0,1
3762,177,0.0819672,0,0.0178571
3767,15,0,0,1
3772,32,0,0,1
3774,181,0,0,1
3782,43,0,0,1
3784,29,0,0,1
3786,72,0.333333,0,0.0212766
3795,25,0.92,6,0.666667
3798,6,1,1,1
3800,6,1,1,1
3802,61,0.0655738,0,0.0178571
3804,95,0.363636,0,0.333333
3810,6,0,0,1
3819,85,0.5,0,0.0470588
3820,14,0,0,1
3822,30,0,0,1
3824,28,0.357143,0,0.142857
3831,15,0,0,1
3834,6,0,0,1
