objectID,FrameDetected,wrongRate,RateHigherThan80%Frame
E:\updatebackground\10daysResult.csv.xlsx
E:\updatebackground\objectoutput2022-4-25-10-0-0.csv
1010,0,49,0,0,1
1014,0,10,0,0,1
1015,0,72,0,0,1
1024,0,13,0,0,1
1027,0,52,0,0,1
1031,0,19,0,0,1
1037,0,67,0.0447761,0,0.015625
1038,0,19,0,0,1
1040,0,19,0,0,1
1041,0,10,0.2,0,0.142857
1043,0,26,0,0,1
1051,0,55,0.333333,0,0.3
1054,0,80,0,0,1
1058,0,108,0.037037,0,0.00952381
1068,0,30,0,0,1
1071,0,35,0,0,1
1072,0,54,0.0377358,0,0.0192308
1074,0,32,0,0,1
1087,0,15,0,0,1
1093,0,43,0,0,1
1095,0,31,0,0,1
1099,1,11,0.818182,0,0.666667
1100,0,8,0,0,1
1105,0,24,0,0,1
1109,0,65,0,0,1
1111,0,87,0,0,1
1131,0,38,0,0,1
1135,0,7,0,0,1
1137,0,18,0,0,1
1140,0,8,0,0,1
1141,2,64,0.1875,0,0.0196078
1147,0,46,0,0,1
1151,0,24,0,0,1
1152,0,23,0,0,1
1154,0,34,0,0,1
1160,1,147,0.213483,0,0.0540541
1167,0,74,0,0,1
1169,0,8,0,0,1
1175,0,62,0.0327869,0,0.0166667
1180,0,33,0,0,1
1187,0,7,0.142857,0,0.142857
1189,0,71,0,0,1
1197,0,35,0,0,1
1200,0,6,0,0,1
1202,7,95,0.875,0,0.666667
1203,2,10,0.9,1,0.833333
1205,0,28,0,0,1
1206,0,8,0,0,1
1213,0,11,0.777778,0,0.714286
1215,0,7,0.857143,0,0.833333
1220,0,6,0,0,1
1222,0,8,0,0,1
1224,0,10,0,0,1
1225,0,6,0,0,1
1227,0,32,0,0,1
1234,0,13,0.583333,0,0.375
1235,0,6,0.5,0,0.5
1238,0,60,0.0666667,0,0.0178571
1240,0,40,0,0,1
1249,0,21,0,0,1
1257,0,50,0,0,1
1264,0,38,0,0,1
1268,0,38,0,0,1
E:\updatebackground\objectoutput2022-4-25-11-0-0.csv
1284,0,73,0.0410959,0,0.0142857
1292,0,38,0.333333,0,0.333333
1294,0,28,0.0357143,0,0.0357143
1300,0,19,0,0,1
1307,0,50,0.333333,0,0.0681818
1308,0,107,0.777778,0,0.464286
1311,0,70,0.0428571,0,0.0151515
1313,0,8,0.5,0,0.5
1320,0,16,0,0,1
1326,0,52,0.111111,0,0.0714286
1328,0,77,0.0779221,0,0.0277778
1333,0,34,0.333333,0,0.117647
1334,0,116,0,0,1
1341,7,19,0.842105,0,0.625
1347,0,79,0,0,1
1353,0,56,0.0909091,0,0.0208333
1357,79,106,1,101,1
1360,0,10,1,5,1
1363,159,168,1,163,1
1366,19,30,1,25,1
1372,7,23,1,18,1
1375,2,10,1,5,1
1377,9,29,1,24,1
1378,9,15,1,10,1
1379,3,19,1,14,1
1380,5,17,1,12,1
1385,0,11,0,0,1
1387,11,16,1,11,1
1396,40,48,1,43,1
1397,3,15,1,10,1
